Epoch 001/50 | [WARMUP 1/5] | T.Loss: 0.5986 | V.Loss: 0.1591 | F1: 0.8480 | AUC: 0.9905 | LR: 1.00e-03 | t=30s
Epoch 016/50 | [LGR+ABH] | T.Loss: 0.7086 | V.Loss: 0.2270 | F1: 0.9286 | AUC: 0.9941 | LR: 1.00e-03 | t=30s
Epoch 017/50 | [LGR+ABH] | T.Loss: 0.7501 | V.Loss: 0.2614 | F1: 0.9204 | AUC: 0.9946 | LR: 1.00e-03 | t=31s
Epoch 018/50 | [LGR+ABH] | T.Loss: 0.7360 | V.Loss: 0.1701 | F1: 0.9223 | AUC: 0.9931 | LR: 1.00e-03 | t=29s
Epoch 019/50 | [LGR+ABH] | T.Loss: 0.7624 | V.Loss: 0.1928 | F1: 0.9273 | AUC: 0.9948 | LR: 1.00e-03 | t=29s
Epoch 020/50 | [LGR+ABH] | T.Loss: 0.7711 | V.Loss: 0.2609 | F1: 0.9305 | AUC: 0.9937 | LR: 1.00e-03 | t=29s
Epoch 021/50 | [LGR+ABH] | T.Loss: 0.7797 | V.Loss: 0.2320 | F1: 0.9271 | AUC: 0.9932 | LR: 1.00e-03 | t=31s
Epoch 022/50 | [LGR+ABH] | T.Loss: 0.7698 | V.Loss: 0.2344 | F1: 0.9299 | AUC: 0.9954 | LR: 1.00e-03 | t=30s
Epoch 023/50 | [LGR+ABH] | T.Loss: 0.7191 | V.Loss: 0.2263 | F1: 0.9300 | AUC: 0.9939 | LR: 1.00e-03 | t=31s
Epoch 024/50 | [LGR+ABH] | T.Loss: 0.7103 | V.Loss: 0.2140 | F1: 0.9292 | AUC: 0.9947 | LR: 1.00e-03 | t=30s
Epoch 025/50 | [LGR+ABH] | T.Loss: 0.6930 | V.Loss: 0.2278 | F1: 0.9280 | AUC: 0.9942 | LR: 1.00e-03 | t=30s
Epoch 026/50 | [LGR+ABH] | T.Loss: 0.7049 | V.Loss: 0.1945 | F1: 0.9340 | AUC: 0.9950 | LR: 5.00e-04 | t=30s
Epoch 027/50 | [LGR+ABH] | T.Loss: 0.7405 | V.Loss: 0.1972 | F1: 0.9338 | AUC: 0.9949 | LR: 5.00e-04 | t=30s
Epoch 028/50 | [LGR+ABH] | T.Loss: 0.7986 | V.Loss: 0.2262 | F1: 0.9344 | AUC: 0.9937 | LR: 5.00e-04 | t=30s
Epoch 029/50 | [LGR+ABH] | T.Loss: 0.7404 | V.Loss: 0.2065 | F1: 0.9347 | AUC: 0.9943 | LR: 5.00e-04 | t=31s
Epoch 030/50 | [LGR+ABH] | T.Loss: 0.7936 | V.Loss: 0.2472 | F1: 0.9316 | AUC: 0.9938 | LR: 5.00e-04 | t=30s
Epoch 031/50 | [LGR+ABH] | T.Loss: 0.7275 | V.Loss: 0.1808 | F1: 0.9371 | AUC: 0.9942 | LR: 5.00e-04 | t=30s
Epoch 032/50 | [LGR+ABH] | T.Loss: 0.7206 | V.Loss: 0.1714 | F1: 0.9317 | AUC: 0.9941 | LR: 5.00e-04 | t=31s
Epoch 033/50 | [LGR+ABH] | T.Loss: 0.7258 | V.Loss: 0.1607 | F1: 0.9354 | AUC: 0.9935 | LR: 5.00e-04 | t=31s
Epoch 034/50 | [LGR+ABH] | T.Loss: 0.7016 | V.Loss: 0.1625 | F1: 0.9351 | AUC: 0.9951 | LR: 5.00e-04 | t=32s
Epoch 035/50 | [LGR+ABH] | T.Loss: 0.7689 | V.Loss: 0.2025 | F1: 0.9367 | AUC: 0.9927 | LR: 5.00e-04 | t=32s
Epoch 036/50 | [LGR+ABH] | T.Loss: 0.7664 | V.Loss: 0.1974 | F1: 0.9320 | AUC: 0.9948 | LR: 5.00e-04 | t=31s
Epoch 037/50 | [LGR+ABH] | T.Loss: 0.7448 | V.Loss: 0.2199 | F1: 0.9347 | AUC: 0.9945 | LR: 2.50e-04 | t=30s
Epoch 038/50 | [LGR+ABH] | T.Loss: 0.7566 | V.Loss: 0.1970 | F1: 0.9373 | AUC: 0.9936 | LR: 2.50e-04 | t=31s
Epoch 039/50 | [LGR+ABH] | T.Loss: 0.7352 | V.Loss: 0.2187 | F1: 0.9349 | AUC: 0.9935 | LR: 2.50e-04 | t=32s
Epoch 040/50 | [LGR+ABH] | T.Loss: 0.7292 | V.Loss: 0.1785 | F1: 0.9361 | AUC: 0.9951 | LR: 2.50e-04 | t=31s
Epoch 041/50 | [LGR+ABH] | T.Loss: 0.7382 | V.Loss: 0.1982 | F1: 0.9380 | AUC: 0.9944 | LR: 2.50e-04 | t=31s
Epoch 042/50 | [LGR+ABH] | T.Loss: 0.7237 | V.Loss: 0.2078 | F1: 0.9359 | AUC: 0.9939 | LR: 2.50e-04 | t=31s
Epoch 043/50 | [LGR+ABH] | T.Loss: 0.7079 | V.Loss: 0.1953 | F1: 0.9376 | AUC: 0.9942 | LR: 2.50e-04 | t=30s
Epoch 044/50 | [LGR+ABH] | T.Loss: 0.7764 | V.Loss: 0.2344 | F1: 0.9378 | AUC: 0.9942 | LR: 2.50e-04 | t=30s
Epoch 045/50 | [LGR+ABH] | T.Loss: 0.7279 | V.Loss: 0.1679 | F1: 0.9365 | AUC: 0.9946 | LR: 2.50e-04 | t=31s
Epoch 046/50 | [LGR+ABH] | T.Loss: 0.7198 | V.Loss: 0.1659 | F1: 0.9369 | AUC: 0.9953 | LR: 2.50e-04 | t=32s
Epoch 047/50 | [LGR+ABH] | T.Loss: 0.7368 | V.Loss: 0.1837 | F1: 0.9370 | AUC: 0.9951 | LR: 1.25e-04 | t=32s
Epoch 048/50 | [LGR+ABH] | T.Loss: 0.7241 | V.Loss: 0.1823 | F1: 0.9382 | AUC: 0.9949 | LR: 1.25e-04 | t=33s
Epoch 049/50 | [LGR+ABH] | T.Loss: 0.7259 | V.Loss: 0.1810 | F1: 0.9363 | AUC: 0.9954 | LR: 1.25e-04 | t=31s
Epoch 050/50 | [LGR+ABH] | T.Loss: 0.7251 | V.Loss: 0.1903 | F1: 0.9372 | AUC: 0.9946 | LR: 1.25e-04 | t=32s
